단어		뜻									
ruminate	[rúːmənèit]	v반추하다	~을 여러모로 생각하다.					There are not enough opportunities to ponder a particular thought, so people don't stop and ruminate.		Readers ruminate over the title and its message.	
correspondent	[kɔ̀ːrəspάndənt]	n.특파원/기자	대응하는것/유사본	a.~에 일치하는/대응하는				war correspondent			
thrust	[θrʌst]	v세게~을밀다/찌르다	왈칵밀다./뻗다.뻗어나다.	n.밀기/추진력				Rockets are risky because they are essentially controlled explosions that produce thrust.		Also, killing the bull by a single sword thrust requires a lot of skill and practice.	
tricky		a.교활한	~하기 까다로운					Understanding each regional accent can be tricky,even for Americans.		Plugging in USB or other devices is a bit tricky.	
redundant		여분의	장황한	과다한/매우풍부한							
compensate	[kάmpənsèit]	~을 보상(보충)하다	메우다	~에게~을 보상하다				Money isn't the only way to be compensated in life.		compensate him for his trouble with a large sum of money.	
lid		뚜껑/덮개	눈꺼풀	~에 뚜껑을 덮다							
baffle	[bǽfl]	좌절시키다	당황하게하다	몸부림치다/헛되이 애쓰다/고군분투하다				I was baffled by his odd behavior. 		This great mystery still baffles scientists to this day!	
take it away		치우다	멀리보내다	시작하다(방송)							
generic		일반적인/포괄적인									
derive	[diráiv]	나오다/기인하다	이끌다	연역하다/추론하다							
derivative	[dirívətiv]	유도된	이끌어낸/파생된	~이끌어낸 것/파생된것				The new derivative products were even exported to other Asian countries making astronomical profits.			
projectile		발사체									
unlikely		일어날것 같지 않은	있을법하지 않은	가망이 없는	있을법 하지 않게						
likely		있을법한	~할것 같은	가능성이 있는							
restaurateur	[rèstərətə́ːr]	음식점 주인									
gastronome	[gǽstrənòum]	좋은 음식을 잘 알고있는 사람	미식가					I once asked a gastronome friend of mine how farahead he thought about the meals he would behaving.			
feast	[fiːst]	축제/진수성찬	성찬/즐기다					Many families have an outdoor barbecue for theirholiday feast.			
cliche	[kliːʃéi]	진부한 인용	(너무 많이 인용되어 지루하기까지 된말)					Even a cliche can be helpful sometimes: Honesty isthe best policy.			
posh	[paʃ]	고급	화려한/멋진/호화로운/상류사회의	치장시키다	~을 날씬하게 하다			After class, college students wanted a posh place to eat.			
convex	[kanvéks｜kɔn-]	볼록한						When their hands looked smaller using a convexmirror, they felt more pain.			
revert	[rivə́ːrt]	돌아가다/회귀하다/복귀하다						what happens is someone will notice the change very quickly, and then they'll just simply revert the change			
frequency		빈발/빈번	빈도/횟수	(전파)주파수							
concurrent		동시에발생하는 	공존하는	협력하는/공동의/동시에 작용하는	~과 일치하는 						
interpolate	[intə́ːrpəlèit]	삽입하다	보충하다					The Effect of Interpolated Activities during the Rest Period on Motor Learning			
lane		차선/통로/차로									
peripheral	[pərífərəl]	주변장치						The disease causes central vision loss, whileperipheral vision is maintained.			
doctrine		교리									
deployment		(부대등의)배치									
mandatory	[mǽndətɔ̀ːri]	의무적인	필수적인					The copyright notice was mandatory on all published works at that time.			
snippet		단편/조각/짜투리									
obligation	[ὰbləgéiʃən]	의무/채무	계약	채권				Seoul has no obligation to accept the U.N.rapporteur's report and follow his recommendations, which have no binding power.			
succinct	[səksíŋkt]	간결한/간명한						Archimedes was no less succinct in explaining the basics of math.			
ambient	[ǽmbiənt]	대기	환경	주변	분위기			Doctors said many people also wear headphones,not just to enjoy music, but also to block out ambient noise on buses, trains or just the street.			
stubborn	[stΛbərn]	완고한	단단한					She is very straightforward and stubborn.		Bull terriers are normally stubborn. But,surprisingly, the dog behaves well in front of her.	
hang in there		메달려 있다.(일을 계속 하고있다/끝까지 하다)									
hang in 		어려움에 저항하며 안좋은 상황에서도 그상황에 남음									
legitimately	lidʒítəmətli	(공정 논리적으로)어떤일을 행함을 묘사	합법적으로					I needed a partnership to legitimately do that.			
disparate	[díspərit, dispǽ-]	완전히 다른	연관되지 않은	공통점이 없는 	이종의			So, where do you go putting all of these disparate pieces together?			
shred	[ʃred]	끄트머리	조각	잘게짜른다	~을 갈가리 찢다			The blouse had shredded		They don't have a shred of evidence.	
bid	[bid]	입찰/값매기기	노력	시도	~의 값을 매기다			The highest bid was for Einstein’s letter about God’s creation of the world.(입찰)		Singaporean citizens bid their farewell to their founding father on March 29.(말하다:AtoB)	
cull	[kʌl]	고르다	(문어)따다.	골라내고 남은것	멍청이			Korean farmers have had to cull 30 million chickens because of bird flu.		Every year, zoos around the world cull thousands of healthy animals.(동물:도태하다)	
heywire		얽힌	머리가 돈	건초를 묶는 철사							
caveat	[kéiviӕt]	경고	소송절차	정지통고				The only caveat is that brides and grooms should not request these things directly.			
jitter	[dʒítər]	신경질적으로 행동하다	안절부절 못하다	신경질; 안절부절못하는 상태; 불안[공포]감				The intensifying conflict has led to global jitters.			
pitfall		함정	구덩이								
erratic	[irǽtik]	이상한 사람	산만한/변덕스러운/별난					Furthermore, their erratic behavior is easily excused.		As erratic climate patterns occur, predicting theweather has become more important than ever before.	
friction	[fríkʃən]	마찰	불화					The water works as lubricant to reduce the friction between the blade and the ice			
noble		고귀한/숭고한	귀족의	고상한				The utmost integrity is merely a small virtue for a noble man.			
merely	[míərli]	1.단지2.단순히3.그저						Ten years ago, social media was merely Myspace and Facebook.			
integrity	[intégrəti]	1.진실성2.도덕성3.위상4.고결함5.온전함						They must act with integrity, independently and with their clients best interests in mind.			
imminent	[ímənənt]	절박한	일촉즉발의					If an eruption is imminent, the magma chamber will rise upward toward the surface.			
alleviate	[əlíːvièit]	경감(완화)하다						Dawson wanted to alleviate food waste in the U.K.,while helping underserved populations, too.			
underserved	[əndərsərˈvd]	정부의 원조가 불충분한									
engagement	[ingéidʒmənt]	약속/계약	약혼	참여							
relieve	[rilíːv]	완화시키다	안도/경감하다	해소시키다	풀다			they can relieve stress by engaging in outdooractivities.			
irrelevant	[iréləvənt]	관계없는	부적절한	타당하지 않은				This means that all of Henry's arguments about wasting resources are irrelevant.			
procrastinate	[proukrǽstənèit]	질질끌다	꾸물대다	미루다/연기하다				An increasing number of male college students areprocrastinating their graduations for more securejobs,			
vigilance	[vídʒələns]	각성	불침번	각성상태				After the Boston bombings, countries around the world began heightening vigilance against terrorism.			
heretofore		지금까지	현재까지	이때까지							
intimate	[íntəmət]	친밀한	친숙한	사사로운	개인적인	친한동료		How can a human have this intimate relationship with wolves?			
intimate_o	[íntəmèit]	~을 간접적으로 알리다	~을 넌지시 알리다	암시하다				I'm not intimating anything.			
intimately	[íntəmətli]	친밀하게	스스럼없이	친하게				Each story in the book is intimately related toparticular mathematical concepts.			
collected		침착한	냉정한	태연한 	모은/수집한/모인						
vulnerability	[vΛlnərəbíləti]	공격당하기쉬운	약점이있음	약함/취약함							
indulgent	[indΛldʒənt]	관대한	응석을 받아주는	무른				Brando was criticized later in life for beingoverweight and for his self-indulgent behavior.			
indulge 	[indΛldʒ]	~에 빠지다	탐닉하다	제멋대로 하게하다				You might indulge in self-pity, feeling sorry for yourself.			
plunge	[plʌndʒ]	(급히/에너지넘치게)뛰어들다.빠지다	~을 적시다.밀어넣다.쑤써넣다	급락하다/추락하다	급락			Their population has dwindled to about 120,000,and the number continues to plunge.			
nugget		덩어리	천연금괴	가치있는것							
legwork		탐방	탐문수사	다리로하는 취재							
deviate	[díːvièit]	벗어나다	빗나가다	일탈하다				The whales never deviated off their regular path bymore than a single degree.			
deficiency	[difíʃənsi]	부족	결핍	불완정	결함			The most severe form of vitamin C deficiency isscurvy.			
pursuit	[pərsúːt]	추격	추구	pursuits(일/연구/직업)				Thanks to science we can make other pursuits in life.			
pursue	[pərsúː]	추구하다	추진하다	계속하다	쫒다/추적하다			At 19, he quit college to pursue a comic bookcareer.			
intimidate	[intímədèit]	~을 두려워하게 하다	~을 협박하다	겁먹게하다				Coming face to face with them is ratherintimidating!			
interfere	[ìntərfíər]	(사이에 끼어들어)방해하다	위해를 가하다					It is one habit in humanity the law shouldn't touchor interfere with			
peak	[piːk]	~쪼다(새의 부리등)	~을 캐다	~을 새기다	[세력이] 쇠약해지다[out].						
impose	[impóuz]	부과하다	(벌금/죄/의무)지우다					They will even impose fines for wearing the Islamic clothing.		The idea is like imposing heavy taxes on cigarettes and alcohol.	
voluntary	[vάləntèri]	자발적으로 하는	자진하여 하는	임의의/임시의	즉흥적 연주음악	자발적으로 한일	compulsory(강제적인)	Voluntary euthanasia or assisted suicide relates to the right to end one's own life.		In today's world voluntary vegetarianism is on the rise.	
involuntary	[invάləntèri]	본의 아닌	마지못해하는 	무의식의				This is an involuntary act that takes just a fewseconds.			
monastery	[mάnəstèri]	수도원									
stubble	[stΛbl]	그루터기	그루터기모양의 것(수염)								
moderate	[mάdərət]	절도를 지키는	극단에 흐르지 않는	온건한	알맞은 /적당한	온건한 사람					
moderate_o	[mάdərèit｜mɔ́d-]	~을 절게하다	알맞게 하다	완화(가감)하다	(공개토론/집회등을) 사회하다						
itch		가렵다/근질거리다	가려움을 일으키다	~에게 가려움을 느끼게하다	가려움/간질거림						
veracity	[vərǽsəti]	정확도	정직	정확성	진실성			What is the veracity level of what you're looking at?			
modest 	[mάdist]	(사람)겸손한/삼가하는	(규모/수량)심하지않은	(요구/희망)많은것을 바라지 않는	(여성복장)정숙한/얌전한	검소한/수수한		Modest people do not hold their heads high, even when they remain at the top of their fields.			
democratization	[dimὰk-rətizéiʃən]	민주주의화/민주화									
versatile	[və́ːrsətl]	(사람)여러방면에 능한/융통성있는	(사물)용도가 많은/만능의	(마음/목적/정책)변하기쉬운/변덕스러운				the piano, as one of the greatest enduring legacies of western music, is an extremely versatile instrument			
diverse	[divə́ːrs]	가지각색의/다양한						Brazil is also home to diverse wildlife and natural resources.			
facilitate 	[fəsílətèit]	 …을 수월하게[편하게] 하다	[행동·조치 등을] 촉진[조성]하다					The new machines will facilitate the job			
sophisticated 	[səfístəkèitid]	[사람·생각·취미·복장 등이]세련된/세상물정에 익숙한/학문[교양]이 있는	[문체·작품 등이] 기교에 치우친/ 멋부린; [방식·기계·논의 등이] 복잡[정교]한/ 정도가 높은					Sophisticated decision making is a skill absent in autism patients.			
confront 	[kənfrΛnt]	[사람·사물을] 직면하다/ 마주보다; [남과] 대면[대결]하다	[곤란·위험 등이] [사람의] 앞길을 가로막다; (보통 수동태) [사람이] [곤란에] 직면하다[with ‥]					This is a natural response that prepares us to confront or run away from dangerous situations.		We are often confronted with difficulties in ourdaily lives	
atheist	[éiθiist]	무신론자						I'm an atheist and I don't have a religion.			
torturous	[tɔ́ːrʧərəs]	고문과 같은	몹시괴로운	비틀어진/고불고불한				while some people enjoy being tickled, others find it painful and even torturous			
trigonometry	[trìgənάmətri]	삼각법/삼각함수									
depict	[dipíkt]	묘사하다/그리다	…을 (말로) 나타내다/ 서술하다					The drama depicted him as a hero who worked hard for his people.		Her tragic life was depicted once in a 1988 French film.	
quirky	[kwə́ːrki]	특이한 	별난					George’s owner Andy Park says that he has no physical problem, but he is just quirky.		The characters are quirky and funny and just plain real.	
trivia	[tríviə]	하찬은 	잡다한/상식					During the past six months, I have also learned some interesting historical trivia, like how my favorite beverage, Coca-Cola, was originally intended to cure illnesses.			
tidbit	[tídbìt]	한입/한토막	토막뉴스					You got that tidbit from your friends at Sinclair, eh?			
credibility	[krèdəbíləti]	신용	믿을수 있음	진실성				It has faced huge fiscal imbalances, large government deficits, bad budget compliance, and low statistical credibility.			
compliance	[kəmpláiəns, -ənsi] 	따르기/추종	순종					Creativity or compliance, the moment of choice will come sooner than you think			
tout	[taut]	(거래·일 등을) 성가시게 조르다[요구하다]; […을] 강매하다/ […에의] 손님을 끌다[for ‥]; (영) 티켓을 비싸게 팔다	[거래·일·투표 등을] 성가시게 권유하다/ 조르다; [물건·입장권 등을] 강매하다/ 비싸게 팔아먹다; [사람·물건을] 과대 선전[추천]하다	(거래·일·지지 등을) 성가시게 조르는 사람; (남을) 등쳐 먹는 자/ (사창가의) 손님을 끄는 사람.				Nuclear power has long been touted as both humanity's greatest hope, as well as feared as a serious threat to the future.(거론되다)			
captivating	[kǽptəvèitiŋ]	남의 마음을 사로잡을 듯한; 황홀하게 하는/ 매혹적인.						This data, when visualized, is captivating to watch.		The familiar story is captivating, and the reflectionof the period and life of the author add to itsemotional depth.	
absurd	[æbsə́ːrd, æbzə́ːrd]	불합리[부조리]한/ 도리에 맞지 않는; 어리석은	어원ab(…에서)＋surd(귀가 들리지 않는)→도리에 벗어난					However, they made absurd remarks again on Dokdo and many Koreans are very angry.			
worthwhile	[wərˈθwaiˈl]	할 보람이 있는/ 시간[노력]을 소비할[들일] 가치가 있는; 가치[값어치]있는/ 상당한/ 훌륭한						I’m glad to say the summer has been soworthwhile.			
clarify	[klǽrəfài]	[사상·말 등을] 분명히 하다/ 이해하기 쉽게 하다	[액체·버터 등을] 맑게 하다/ 정화하다.	맑아지다; 분명해지다/ 뚜렷해지다.				It helps clarify your thinking.		Pasteur used this information to clarify how fermentation occurred.	
fermentation	[fə̀ːrmentéiʃən]	1.발효(작용/ 과정)2.흥분3.동요						He discovered the principles of vaccination, fermentation, and pasteurization - a process which adopted his name.			
fidgeting	[fídʒit]	[걱정·지루함 등으로] 안절부절못하다/ 조바심내다/ 초조해하다	[…을] 손가락으로 만지작거리다[about/with ‥]	[사람을] 안절부절못하게 하다/ 안달나게 하다/ 초조하게 하다.	조바심[안달/ 주저주저]하는 사람			Dr. Lillian Glass, a behavioral analyst, says thatpeople tend to fidget when they are lying.			
Apes	[eiˈps]	꼬리없는원숭이류						Apes such as chimpanzees and orangutans have a lot in common with humans.			
clowns	[klaun]	(서커스 등의) 어릿광대.	익살부리다; 놀리다[about/ around].	(it을 목적어로) 어릿광대 노릇을 하다.				The doctors wear clown costumes while they treatkids there.			
fasten	[fǽsn/fǽsən]	…을 [어떤 장소·물건·신체 등에] 단단히 고정시키다[on/to/ on/ around ‥]	[죄·책임등을] [남에게] 뒤집어씌우다/ [일을] [남에게] 억지로 시키다/ [별명을] [남에게] 붙이다/ (재귀 용법) [남에게] 귀찮게 달라붙다[on/ upon ‥]	고정되다/ 단단히 닫히다[잠기다][up/ together]				Fasten the lower part of the seatbelt around yourhips.			
proportional	[prəpɔ́ːrʃənl]	1.균형 잡힌2.비례하는3.비례수						It's inversely proportional to R.			
By no means		 1.결코2.결코 …하지 않다 3.결코 … 아니다						This by no means implies that it is not as good as the first			
consistency	[kənsístənsi, -əns]	1.일관성2.일치3.정합성4.지속성5.점도									
fringe	[frindʒ]	1.주변2.가장자리3.분파 집단4.부가적인 것5.경계선									
bureaucracy	[bjuərάkrəsi]	1.관료주의2.관청의 번거로운 절차						The meetings reduced bureaucracy andunnecessary work through direct communication between management and employees.			
vague	[veig]	1.모호한2.애매한3.희미한						Some vague phrases are effective enough to draw information from listeners.			
forte	[fɔːrt]	1. 장점2. 강음 자리						My forte as a singer is I have a comparatively goodvoice.			
diversity	[divə́ːrsəti]	상이(점); 다양(성)						There is a great diversity of opinion about the babybox			
hump	[hʌmp]	1.혹/둥근 언덕2.육봉3.둥글게 하다						They have long legs and a humped back.		There's a little hump here. But there are people all the way.	
exhilarating	[igzílərèitiŋ]	명랑하게[기운 나게] 하는; 들뜨게 하는; 취하게 하는						It is really exhilarating to understand a voluminousbook in just 40 minutes through a TV program.			
squash	[skwaʃ]	1.스쿼시2.호박3.짓누르다4.찌그러지다5.밀어 넣다						The artifacts include a squashed fire truck, acrushed pay phone, and a smashed elevatormotor			
tiring	[táiəriŋ]	1.피곤한2.지루한						It was a tiring trip, but I made many good memories.			
antithetical	[ӕntəθétik, -ikəl]	1.대조의2.정반대의3.대조를 이루는						hope is antithetic to despair			
despair	[dispέər]	1.절망2.좌절3.자포자기4.체념5.실망						Do not succumb to despair, and learn to overcome adversity.			
adversity	[ædvə́ːrsəti]	1.역경2.재난3.불운						Adversity can come from prejudice, illness, death,financial difficulties, and many other unpleasant experiences.			
entrench	[intrénʧ]	1.흔들리지 않게 되다2.…을 참호로 두르다3.참호를 파고 들어가다						He entrenched himself in a cave.			
Slumber	[slΛmbər]	잠시 졸다/ 깜박 졸다(doze); 무활동 상태에 있다/ [화산 등이] 휴지하고있다(stagnate).	시간·생애 등을] 잠자며[하는 일 없이] 보내다[away/ out/ through]	(종종 slumbers로 단수 취급) 선잠/ 얕은 잠	무활동[휴지/ 정지(靜止)] 상태.						
reportedly	[ripɔ́ːrtidli]	 1.보도에 따르면2.알려진 바에 따르면3.전해지는 바로는4.소문에 의하면									
prolonged	[prəlɔ́ːŋd, -lάŋd]	1.연장하는2.늘리는3.장기의						According to his mother, prolonged standing causes him intense pain.			Seoul city is getting busy to find ways to cope with the prolonged droughts.
modest	[mάdist]	1.겸손한2.적당한3.수수한4.정숙한						According to him, writing poems helps him to stay modest, honest, and moderate.		He was modest and humble.	
humble	[hΛmbl]	1.겸손한2.초라한3.소박한4.사견으로5.겸허하게 하다						Over the course of his humble service, he has handed out over 700,000 sandwiches!			
fervent	[fə́ːrvənt]	1.열렬한2.뜨거운3.강렬한						South Korean civic groups and provincial governments continued their fervent protests.			
testimony	[téstəmòuni]	1.증언2.증거3.입증						Most stoning sentences are issued not on the basis of testimony or confession but on the judges "knowledge" or "intuition."			
endeavors	[indévər]	1.노력2.시도3.실시						The exploration of space has traditionally been seen as an incredibly difficult endeavor			
deprived	[dipráivd]	1.불우한2.가난한3.곤궁한									
deprive	[dipráiv]	1.박탈하다2.빼앗다3.부족하게 만들다4.허용치 않다5.가난한						Driverless cars may deprive drivers of the joy of driving.			Why should we deprive them of a chance to live?
thrive	[θraiv]	1.번창하다2.성장하다3.넘쳐나다4.확장하다5.무성하다						They have thrived on Earth for about 320 million years.			Unfortunately his thriving career needs to be put on hold as he needs to serve the two years of mandatory military duty.
shackle	[ʃǽkl]	.족쇄2.쇠고랑3.갇히다4.사슬5.잡다						The bill would prohibit the use of devices such as stun guns, whips, and shackles when training animals.			
inconceivable	[ìnkənsíːvəbl]	1.상상도 할 수 없는2.생각조차 못 하는3.상상도 못할						It was inconceivable to her that she would not succeed.			
elaborated	[ilǽbərət]	1.상세히 말하다2.정교한3.설명하다4.정성들인5.최선의		e(밖으로)＋labor(일하다)＋ate(…시키다) → 만들어 내다				The Paracas civilization was well known for its elaborate art.			
Insatiable		만족시키거나 달래기가 불가능한; 지나치게 욕심 많은									
suboptimal											
prev·a·lent	/ˈprev(ə)lənt/	1. 일반적으로 행해지는									
deliberately		(신중하게/ 고의적으로/ 계획적으로)"는 부사형태로 "deliberate(심사 숙고하다/ 신중한/ 고의적인/ 계획적인)"									
con·tra·dict	/ˌkäntrəˈdik(t)/	1. 모순된다									
rectify	ˈrektəˌfī	rectify는 "바로잡다/ 수정하다"									
Hypothetical 		 가상의; "가설에 기반을 둔 또는 가설적인 특징을 가진,									
cease											
implication	/ˌɪmpləˈkeɪʃən/	영향[결과] 2. 함축/ 암시									
analogy		유사/ 유추									
profound		깊다. (비유) 생각/ 느낌이 심오하다. 철저하다.									
signify		의미하다/ 나타내다									
co·er·cion		강요									
evident		형용사 분명한/ 눈에 띄는									
specific		구체적인/ 명확한/ 분명한									
tempt. 		뜻 : 유혹하다/ 꾀어내다									
pervasive		퍼지는/ 널리 미치는/ 스며드는									
mint		화폐를 주조하다	완전히 새로운 것을 만들어 내다	매우 많은 돈							
loose change		동전(주머니 속에서 마음대로 돌아다니는)									
exhaustible		고갈시킬 수 있는									
Exhaustive		철저한									
encompass		원을 이루다/ 둘러싸다/									
idiomatic		관용적인									
co·erce	kōˈərs	1. 지배하다	2. 강제하다								
grapheme		문자소									
diacritic		글자의 위나 아래에 찍어 기존의 철자와는 다른 발음이나 의미를 부여하는 기호									
goodies		매력적이거나 즐거운 것으로 간주되는 물건/ 보상/ 상금									
homogeneous		동종의/동질의									
on behalf		~대신하여/~을 위해여/~대표하여									
in behalf of 		~을(돕기)위해									
invariant	ˌinˈverēənt	불변									
Downside		불리한 면/ 단점									
deterministic		결정론적인									
humble		보잘것없는/ 천한/ 변변찮은.									
inadequate		1. 부적당한									
portion		부분(덩어리)									
proportion		부분(1비율적)									
negate		부정하다									
imprecise		1. 애매한/ 모호한/ 부정확한.									
in·ter·fere		간섭하다방해하다									
terminology		용어									
ideology		관념론									
Suppose		아래에(sup=sub=under) 두다(pose=put/ place)'라는 그림에서 '가정하다/ 상상하다/ 추측하다/ 생각하다/ 전제로 하다/ 만약~하다면									
domestic		1. 국내의 2. 가정(용)의/ 집안의 3. 가정적인									
pathetic		1. 서투른	2. 감상적인								
fondle		정스럽게 다루다/ 다정스럽게 어루만지다)"는 "fond(특히 좋아하는/ 다정하게 대하는)" + "handle(다루다/...)"									
pester		자꾸 귀찮게 하다									
Spoiler		망치다/ 망쳐버리다'									
additive		1.부가적인. 2.첨가물. 3.덧셈의									
at most		많아 봤자'	기껏 해야/ 많아야								
gloss over		~대해 얼버무리고 넘어가다/ · 둘러대다/ 속이다									
elide		생략하다	무효화하다/ 없애다								
intuitive		직관적									
imposes		부과하다/ 가하다									
analogous		유사한									
be opposed to + sth		~에 반대하는/									
as opposed to		~와는 대조적으로 / ~가 아니라									
opaque		불투명한, 광택없는, 충충한, 우둔한.									
barring		어떤 일만 아니라면' '어떤 일을 제외하고									
